signum,transliteration,english
N 172 M,÷ þæsse : kirka : æ^r (:) uig^d (:) sa(k)^t(s) (:) (o)l(a)^u(e) (:) ko(n)o^g(e),This church is dedicated to Saint Ólafr the King.
N 173 M §A,math(e)us §B lukas §C mar(k)us §D ioh(a)(n)(n)(e)s,Matthew §B Luke §C Mark §D John
N 174,†M [mi(:)m æ(:)lifu : neta^r : til : botolps:søku : (o)ltiþ s a],"†M Memorandum: eleven nights until Bótulfrs-vigil, S-... A-...'s anniversary-of-death."
N 175,†M [÷ h(e)^r : likar ÷ þors-ouar ÷ þnr...iun],†M Here lies Þor-... ...
N 176,†M [arnæ],†M Árni
N 177,†M [olai],†M ...
N 178 M,ane þostæisun (k)æirþi mik : en halæikr kæutasun a mik ¶ hæilum hotom kere han soa : þeta oar : ristit koal suta nar koalt,Árni Þorsteinn's son made me and Háleikr Gautr's son owns me. Thus he did with healthy hands. This was carved ... Sunday towards evening.
N 179 M,hake ÷ beanar÷sun ÷ a mik ÷ suæn ÷ os-(u)-dar÷sun ÷ slo ÷ mik ÷ osofar ÷ ræs÷t ÷ mik ÷ auk ÷ læiste ÷ oþesndhen ÷ nesta ÷ eptir ÷ olafs÷foku ÷ a seta ÷ are ÷ rikes ÷ f(o)s ÷ firþulhs ÷ hæra ÷ mahnusar ÷ norihs ÷ konohs,"Haki Bjôrn's son owns me, Sveinn Ásmundr's son hammered me, Ásulfr carved and read me on the first Wednesday after Ólafr's-vigil in the sixth year of the reign of our worthy Sire Magnús, King of Norway."
N 180 †,[... : reisti : stein : þe(n)(a) : e(f)(t)ir : (h)(i)k...],... raised this stone in memory of ...
N 181 M,her li(k)(a)r þ(o)læfar sun (k)[una(s) (a) birt- +],"here lies Þorleifr, son of Gunnarr(?) of Birti(?)."
N 182,$M fuþorkhniastlbmy ¶ ÷÷ þeir ÷ gærþo ÷ runar þæsar ¶ finr ÷ auk olafr,"$M <fuþorkhniastlbmy> They made these runes, Finnr and Ólafr."
N 183 M,o^not^r : a mik : a ho^no^m,Ônundr of Hornar owns me.
N 184,arn×[stin] × risti × stin × þi[na] × iftir × bior × [s]un × sin × [sa × uar] tuþr × i liþi × þ[(o)s × knutr soti × iklot +] ¶ × in is ko[þ],Arnsteinn raised this stone in memory of Bjórr his son who died in the retinue when Knútr attacked England. God is one.
N 185 †,[+ kuþ hiabi s(a)l ma(h)niltar],May God help Magnhildr's soul.
N 186 †,[þo(l)afr : s(t)a(l)a : sunr rasti : stain : aftir (o)laf : il(o)nssun (o) (b)uk(l)onti :],"Þorlafr Stáli's son raised (the) stone in memory of Ólafr of Byggland, Erlendr's son."
N 187,ialbi koþ onto -...,May God help (his) spirit ...
N 188,kunitr : kerþ snalt :,Gunnhildr made the spindle-whorl.
N 189 M,kun^nar girþi mik hlhi a mik,Gunnarr made me. Helgi owns me.
N 190 M,...,...
N 191 M,ra raist,Hreiðarr(?) carved.
N 192 M,ek uilta kusa may þ(a) er fahst er i^ ^þ^haiminum,I wanted to choose the maid who is the fairest in the home of the giants(?).
N 193 M,k(u)na^(r) h...,Gunnarr ...
N 194 M,kuni,Gunni
N 195 M,þer er huit haur,Rest is hard for you.
N 196 M,--r----------(r)---------h--,...
N 197 M,--þ------e---(m)...,...
N 198 M,uifil bo hir,Vifill lived here
N 199 M,ai-----,...
N 200 M,s þ,Salmundr(?) Þorgeirr's(?) son
N 201 M,fuþorkhniastblmøæ hi,<fuþorkhniastblmøæ> ...
N 202 M,fuþorkhniastbm-,<fuþorkhniastbm->
N 203 M,fuþorkhniastblmæø,<fuþorkhniastblmæø>
N 204 M,fuþor,<fuþork>
N 205 M,fuþ,<fuþork>
N 206 M,-...or-...,...
N 207 M,fuþ(o)rkhn,<fuþorkhnias>
N 208,(þ)---(a)r--n--- ÷ ---(s)--þ ÷ þitak-rtu ÷ in kunar ÷ (r)(a)---- ÷ s-a-- ÷ þono (b)ru(þ)ur sin,... ... <þitak-rtu> and Gunnarr raised this stone [in memory of] their brother.
N 209 $,a(f)t þuri niriþs| |sun is| |stain sa,This stone is in memory of Þóri Neriðr's son.
N 210 $,× aRintr × karþi × kirkiu × þesa × kosunr × olafs × hins × hala × a oþali × sinu ×,"Eyvindr, godson of Ólafr the Slippery/Crooked/Holy made this church on his allodial land."
N 211,auintr : risti : stin : þina aftir : kunuat : sun sn,"Eyvindr raised this stone in memory of Gunnhvatr/Gunnvaldr, his son."
N 212 M,her skipter : mørkone,(This) divides here the (outlying-)forests.
N 213,ranuauk : raisti : stain : aftir : akmunt hrabisun : uar sin : skokr : b[arþi],"Rannveig raised the stone in memory of Ôgmundr Hreppir's son, her husband. Skógr struck (the runes)."
N 214 M,rist : (a)inriþi (:) (a)t [:] u(s)tæn (:),Einriði carved in memory of Eysteinn.
N 215,†M [gunr : rioas:sun : ligr : hr],†M Gunnarr Bjôrn's(?) son lies here.
N 216,†M §A [pkrus ÷ paullus : an(t)ræas markus : maria ÷ mathius uukis : iohannisi t(æ)tra÷krama÷ton ÷ ag(l)a ÷ akios ÷ annail ÷ missæai ÷ iesuk ÷ gristi ÷ gu...] §B [maria s m · hila ÷ iesus ÷ krists ÷ tit(r) hakon],"†M §A Peter, Paul, Andrew, Mark, Mary, Matthew, Luke, John, Tetragrammaton, 'agla' (= Thou art strong in eternity, Lord), holy, Emmanuel?/Adonai? (Lord), Messiah, Jesus Christ, God. §B Fortunate Mary, the holy maiden. Jesus Christ. Tetragrammaton. Hákon."
N 217,... risti stin þina,... raised this stone
N 218,†M [ra^ngn(e) (s)],†M Ragni(?) the priest(?).
N 219,†M [ranu^aig],†M Rannveig.
N 220,†M [ilþa],†M ...
N 221 M,l(i)k(i) (m)unu l(i)fa (:) hn(t)a,"Long may (they) live, defend!(?)"
N 222,... ...i : staina : þis(a) ¶ haftir : --...,... raised these stones in memory of ...
N 223 $ §A,kautr : r(b)[isti ÷ stan ÷ þa^na :] §B (+) aft : staina(r) [÷ bruþur : sin × in ÷ ulfrikr ÷] §A [srkþukr k],"Gautr raised this stone §B in memory of Steinarr, his brother. And Ulfríkr §A the Sorrow-stricken made."
N 224,biorn : kl(a)... ... ...ruþur : sin +,Bjôrn ... ... his brother.
N 225 §A,þurir : harþar:sunr : raisti : stain : þina : ¶ aft : oskarþi : kuon : sina : (t)u(t)ur : kunars (:) §B bruþur : halka : o : klabi +,"Þórir Harðr's son raised this stone in memory of his wife Ásgerðr, daughter of Gunnarr §B (the) brother of Helgi of Kleppr."
N 226,(h)iþi(n) (:) ... bau(þ)... ...,Heðinn ... Bôðvarr ...
N 227,†M [artiþ : er ÷ ikibrha^r : kara:totr : þru : nom : æpter : krosmesst : um · uarst ¶ + huær (:) sa : maþ-r ÷ runar : þec : sar : þa : sy-e : bater : no-ter : fyrer : søl : heþnar : haalbe ÷ kuþ : þæim : er : suæ : kerer],"†M Ingibjôrg Kári's daughter's anniversary-of-death is three nights after Cross-mass in spring. Whoever the man who sees these runes may be, may he sing Our Father for her soul. May God help him who does thus."
N 228,hailki ÷ rais(t)(i) (s)(t)(a)in þon ÷ aft kaitil bruþur sin,Helgi raised this stone in memory of his brother Ketill.
N 229 M,fuþorkhniasl-...,<fuþorkhniastbmly>
N 230 §A,arnktil : kita : rit : runar §B auktktil kkka^r : iitb/iito runa-,Arnketill Pike / Tabby-cat wrote runes §B ... ... ... ...
N 231 M,+ artiþa(:)t(a)hr : s(t)(æ)ins ... ¶ + suæins : er : siøu notom æft[ir ÷ høl-...],Steinn's anniversary-of-death-day ... <suæins> is seven nights after All-hallows mass.
N 232 M §A,[+ kyþa : a^ntaþish : tu]æm natum [fyrir :] ka-[ntaha · rlo : ahmutr] §B [+ st-...n (:) antaþesk (:) æi]ni ÷ not ÷ æftir] × bøn...us÷mæsu] §C [þo--io... htaiask : tio þiom · farir ol^u ×],Gyða met her end two nights before Rogation day ... Ôgmundr §B Steinunn met her end one night after Benediktus-mass §C ... met her end ten nights before Ólafr's-vigil.
N 233 §A,... ...ina : ok (l)... (þ)ena §B ...(t) : ker(a) ...,... stones and ... this §B had made ...
N 234,+ a(r)(t)iþ : (a)nbiarnar :,Arnbjôrn's anniversary-of-death.
N 235,sikriþ : antaþisk fim notom fRri botolf...,Sigríðr met her end five nights before Bótulfr's(-mass) ...
N 236 §A,(m)a(l)(i) : es : a : s(t)ain(i) : þesu(m) : a- ... §B uorb ÷ likia : hol(f) : til -... §C : at : aign : auk : at : oþli : (e)- : --,"The agreement on this stone is, that ... §B half of the warping-line lie to ... §C as property and as allodial land ... ..."
N 237 † §A,[u(n) ri(s)(t)i : s(t)in þinsi : iftir ¶ : al : b----- ma : sin : ulf(r)k(r) : -iu] §B [+ (h)ialbi : kuþ : sal : þ(i)- ¶ ra(þ) rt],Ónn raised this stone in memory of <al> ... his kinsman-by-marriage. Ulfríkr cut (the runes). §B May God help your soul(?). Rightly interpret.
N 238 †,[... ...i(s)t run(a)r (þ)isar · u(n) · ... · su(n) (a)(f)t ...],... Ónn ... son carved these runes in memory of ...
N 239,þur(b)(i)(u)(r)(n) : skalt : ra(i)sti s(t)n (þ)(o)n(a) aft : s(o)i-÷þuri : sun : sin : is o : (t)on(m)arku (:) (f)il,"Þorbjôrn Skald raised this stone in memory of <soi->þórir, his son, who fell in Denmark."
N 240 M,+ artiþa:tahr : biarnar : ulfkæis:sunar : ¶ er : tuæim : notom : fyrer : mario:... ¶ stæin,The day of the anniversary-of-death of Bjôrn Ulfgeirr's son is two nights before Mary's [mass]. Steinn ...
N 241 †,[...þursin],...
N 242,...,...
N 243 †,[...],...
N 244,× skarþi : risti : stin : þana : iftir :: biafa : sun : sin : harþa : kuþan : man :,"Skarði raised this stone in memory of Bjalfi, his son, a very good man."
N 245,þurmuþr · risti : stin : þono aft : þrunt : sun sin,"Þormóðr raised this stone in memory of Þróndr, his son."
N 246 $,hans,...
N 247 M,-(l)(h)usmin ræisto stæin þana æf(t)ir skarþ^a (:) (æ)(n) (:) þæir tr(u)(k)(o) ¶ -rfi hans,The drinking-companions raised this stone in memory of Skarði when they drank his funeral-feast.
N 248,$M §A + esse krucem tomini fugite pa^rtes atu^erse : uicit leo · de tribu iuta ratiks ta^uit §B kuatuo^r grana : in penta^lum : kuo (f)on... ...-i aa^ro^n · iessus · kristus §C ma^rikus ma^þeus lukas ioh--hannes §D tetragramato^n ÷ atpha e^t o ÷,"$M §A Behold the cross of the Lord; flee, you hostile powers. The lion of the tribe of Juda, the root of David, has conquered. §B Four letters on the forehead-plate that Aaron bore on his forehead, Jesus Christ. §C Mark, Matthew, Luke, John. §D Tetragrammaton. Alpha and Omega."
N 249 M,× k(o)^lbiørn : het ma^þ(r) : (e)(r) (b)(i)(o)(k)e : her,The man who lived here was called Kolbjôrn.
N 250,†M [ø^yulfr r r],†M Eyjulfr carved runes.
N 251,× katil : raisti : stain : þina : haftir : iuruni : kunu : sina : tutur : uþurm,"Ketill raised this stone in memory of Jórunn, his wife, Úþyrmir's(?) daughter."
N 252,al(f)---ir : (b)r(i)str : raisti : stain : þina : aft : arlik ¶ trot(i)n : (s)(i)(n) : -(s)-(i)(n)(u)(a)s : --(a)--(n)-------- : (i)s (h)an (:) (b)ar(i)þ¶is(k) : uiþ ¶ ol(a)if,<alf---ir> the priest raised this stone in memory of his lord Erlingr ... when he fought with Óleifr.
N 253 M,... ...luarc ÷ er : æine : not :: æfter : ¶ ... ...hra : mæso:tah : bruse : ræist :,Hallvarðr's anniversary-of-death is one night after All-hallows mass-day. Brúsi carved.
N 254 M,-imu(n) : prester : læ(t) : (b)e... ... ...sso,Símun the priest had (me) struck(?) ... mass.
N 255,aRt/aa^nt,...
N 256,†M §P [÷ aotam ÷÷ biku ÷+÷ euæ ÷÷ kaim] §Q [÷ addam ÷ bi ÷ gus ÷+÷ eu(a) ÷ kaim],"†M §P Adam ... Eve, Cain."
N 257 M §A,... uiþ : a^nlat : sit ÷ -... §B ...es ÷ kirkio : þæsse · til : ke^rþa^r ... §C ...t(e) : til : uista^r : ua^l-... §D ... ...l : dyrþa^r : o^uk : ga^f : til : se^gs : ...,"... at his demise ... §B ... to the making of this church ... §C ... to provision ... §D ... to magnificence, and gave six to ..."
N 258 M,þessa^r : runar : reist : eind^riþ(i) : prest^r : io^ns:so^n : o^k : b(i)(þ)(i)t : fyr(i)r : mik,Eindriði Jón's son the priest carved these runes and prayed for me.
N 259 $,(×) (þ)(u)(r)(m)(u)(þ)[r : auk] (:) (þ)(u)(r)(k)(a)(r)þ(r) : (r)-is-u : s(t)ain : [þi(n)(a) a(f)tir k(a)u...],Þormóðr and Þorgarðr/Þorgerðr raised this stone in memory of Gautr.
N 260 §A,soenki × resti × sten × þena × §B ... (þ)ront × boroþur × sin ×,"Sveinki raised this stone §B in memory of Þróndr, his brother."
N 261,$M [artiþa^rtahe^r osolfs a hælhalante ÷ e^r feo^ro^u no]...m æfte^r halua^rs÷m(æ)...,$M Ásulfr of Helgaland's anniversary-of-death-day is four nights after St. Hallvarðr's mass. [St. Hallvarðr's mass = 15 May]
N 262 M §A,adonai in : ici §BP k-a^n krtto §BQ ... m s a krtto §C m a^b li i,"Adonai (Lord) ... behold §BP ... Credo. §BQ Saint Michael receive my/ his / her soul. Credo. §C Matthew, the apostle, Luke, John."
N 263 M §A,i--^khitdiush §BP ba^kmik §BQ ba^kmsk §C kr{U} §D ... §E ... §F serbens a^ri(e)s leo §G ue^rmis §H a^reto^n §I {OLAUUS} §K {JHVH},"... §BP ... §BQ ... §C cross(?) §D ... §E ... §F serpent, ram, lion, §G worm §H Arreton (divine) §I Olaus §K Jehovah"
N 264 M §A,[biþer : kiþi-] §BP + biþir firir · sial · [ranuils ·+] §BQ + biþir firir · sial · [ransual a^u-],Pray for §BP Pray for Randviðr's(?) soul. §BQ Pray for Ragnvaldr's soul ...
N 265 M,fr · gregorius,Brother Gregorius
N 266,†M [kuiaæ iariu nisir],†M Michael next (after) Mary.
N 267 M,-- (:) (t)-----f-k---(u)a^k(a)(l)--(a)u(a),... ...
N 268 M,suæin {P}res{T}r : {LET} br-- mik,Sveinn the priest had me struck.
N 269 M §A,...gr ÷ erlin... ¶ ...e hans §B ...ghr ÷ e... ¶ ...on ÷ k-e...,Erlingr's day of anniversary-of death ... his §B Erlingr's day of anniversary-of-death ... ...
N 270 M §A,ha^ra^lr §B ko^n^u^nkr leifr §C ur,Haraldr §B King Leifr §C ...
N 271 §A,+ arlantr : ris(t) : runar : þisa(r) §B + aftir : alui : faþur (+),"Erlendr carved these runes §B in memory of Ôlvir, (his) father."
N 272 M,ketil : seti : stein : þena : ebtir/eptir : fin : mak : sin,"Ketill placed this stone in memory of Finnr, his kinsman-by-marriage."
N 273,× þormoþr : r(a)isti : st(a)in : þ(a)na :× aftir : þormoþ : suiþanta : foþur sin (×),"Þormóðr raised this stone in memory of Þormóðr the Stinging /(Earth-)Scorcher, his father."
N 274 M,ormo^r gun:ilta^rsun (g)ær(i) mæk,Ormr Gunnhildr's son made me.
N 275,†M §A [a^f · uilirr ÷] §B [ka^rtur ÷ o^mmunt...r÷(s)],†M §A Here(?) rests §B Garðr Ôgmundr's son.
N 276 M,østæin baþ þæs (a)t þæna stæin sky^lti læ-... ...,Eysteinn ordered that this stone should be laid ...
N 277,†M [+ tn ÷ artiþ : æikikiarkrar ÷ ir ÷ þrimr ÷ iattim ¶ firæ ÷ mariu÷messo ÷ i ÷ kostu],†M ... Ingibjôrg's anniversary-of-death is three nights before Mary's-mass in Lent.
N 278 M,mar(k)(u)(s) markþi,Markus marked.
N 279 M,[+ ir]tiþ æiriks er · þa : er fim no--- er -...--,Eirikr's anniversary-of-death is when it is five nights ...
N 280,†M [+ ...eþ hui--- ma^rkuæia],†M Here rests Margréta(?).
N 281,†M [+ ...riahp · ioru---r -- m-----k noiam æ(p)tir brþt- ·],†M The day of Jôrundr's anniversary-of-death is ... nights after Bartholomew-mass(?).
N 282 §P,ui × t-... §Q ...-l × i(s),... ... §Q ... ...
N 283,t ou^arkar × karþir × is × kuinn×(k)... ...,... Bodily harm (will be) charged where woman's inviolability (is threatened).
N 284,sikat ' ... ... ni × uritar × uritar × uilki × ...,"I do not see ... ... nor wrong, absolutely not wrong ..."
N 285 M,...,...
N 286 M §P,aka^l ia §Q aka^lit,invocation ... §Q the invocation
N 287 M §A,+ þo^r(b)erker ÷ erlens÷son ... §B ...nuo^ru ÷ ko^no ÷ sna §A ÷ þri÷m nottom ÷ æftir ÷ b(o)... ... §B ...(r)ar : en fi(þ)r gerþi +,"Þorbergr Erlendr's son ... §B Gunnvôr, his wife. §A Three nights after Bótulfr's-mass(?) ... §B Gunnvôr. But Finnr made."
N 288 M,uikigr-,Víkingr.
N 289 M §A,(t)rotin^n : um a^lla : fram ÷ o^k þu styrk : mik : til a^l^lra go^þra : lut... §B ...otin^n : iis÷us krist^ur ÷ sa (i)r bæþe : er guþ o^k : maþa^r : høyr : a^kal^l mit : -... §C ... þik : o^k biþia mer : miskuna^r : uiþa^r : þi(k) o^k ma^riu (:) mo^þ(o)(r),"Lord above all! and You strengthen me for every good lot. §B Lord Jesus Christ, who is both God and man, hear my invocation ... §C ... You and pray for mercy for me from You and Mary, (Your) mother."
N 290 M §A,× rani × §B fuþorkhniast,Hrani §B <fuþorkhniastbmly>
N 291 M §A,hagon ræist mig o^g en suæinen a mig §B ba^rþ a mæ(g) mart a fa^n n þææm er ræist mig,"Hákon carved me, but the lad owns me. §B Bárðr owns me. He found much to put upon him(?) who carved me."
N 292 M,fuþo,<fuþork>
N 293 M §A,isakr þor(e)-r a mik i ro^ni §B -- §C isakr §D fuþorkhnisa,Ísakr. Þórir in Róin(?) owns me. §B ... §C Ísakr §D <fuþorkhnisa>
N 294 M,fuþor,<fuþork>
N 295 M,-(o)(k)(k)(f)(a)---æ(f)-/-(o)(k)i(m)(a)---æ(g),...
N 296,†M [orm : iati : iþ : k(l)þri : þisu : (þ)ah : þorra : k-],†M ... ... ... ... ... ... ... ...
N 297 M,her : nid^ri ÷ firir ÷ huilir ÷ iumfru ÷ ma^rgretta ÷ bidir ÷ pate^r ÷ nosd^e^r ÷ firir ÷ henna^r : saal ÷,Here below rests the virgin Margréta. Pray Our Father for her soul.
N 298 M,ilo u(e)n(:)r tuan þr hulf oisk ÷ ok fpkl þr t(e)k þo(g)u,"The dove resists evil where he fears (the sky's) vault, and the bird there takes shelter."
N 299 M,hip---,...
N 300,... ...(a)isti : kumlu : þita : af(t)... ...,... raised this monument in memory of ...
N 301 M §A,pa^l æi(n)(a)^(r)so^n : ræist : run(a)^(r) (:) þæs... §B ... stæin þæna æ(f)tir ...,Páll Einarr's son carved these runes §B ... this stone in memory of ...
N 302,†M [ba^l ræist runa^r þesar um þrilri/þrilrk],†M Páll carved these runes at (the time of the) Trinity(?).
N 303 M §A,{A ABCDEFGHIKLMNOPQR} §B {STVXYZ AMOR VINI OOM} §C {CD...AB} §D a ' f...,... abcdefghiklmnopqr §B <stvyz> Love conquers all §C ... §D ... ...
N 304 M,hika ihkiporh (þ),"Helga, / Holy(?) Ingibjôrg ..."
N 305 M,askautr,Ásgautr
N 306 M,alf^a e^t ...,Alpha and Omega.
N 307 M,aue maria gracia btena dominus lecum benedicla lu in mutie,"Hail Mary, full of grace. The Lord is with Thee: blessed art Thou among women."
N 308 M,kuþ,God
N 309 M,(t)r(o)ten min ty mer til þes at ek fa bet^ra,"My Lord, assist me so that it gets better for me."
N 310 M,mai/ma(n),...
N 311 M,mai --,... ...
N 312 M,nikol(a)^uc ÷ -------- ÷ (p)rec(b)iter ÷ in : lerþal +,Nikolaus ... Minister in Leradalr.
N 313 M,nieu kri,... ...
N 314 M,sa^nkte : nikula^us : kirkia,Saint Nikulás' church.
N 315 M,i : my/m<n>,... ...
N 316 M,h...esk : dy...,... ...
N 317 M,...er er ioron : ia^rþaþ,Jórunn is interred here.
N 318 M,--(u)(k)-(ø)mr · huh-r · se(n)(d)ir · uin sinum astsaml(e)ha kuæþiu,... ... sends his friend a loving greeting.
N 319 M,(h)a^(l)(d)i (÷) hin ÷ hæ^lhi ÷ d^roten ÷ ho^n(d) ÷ yuir (÷) brynio^lfs ÷ on÷d ÷ þ^at ÷ se (÷) satt,May the holy Lord hold (His) hand over Brynjulfr's spirit. May it be true.
N 320 M,[ha^ld](i) (÷) (h)(i)(n) (÷) hæ^lhi ÷ d(r)oti(n) ÷ h,may the holy Lord hold (His) hand
N 321 M,ar,...
N 322 M,hin,the
N 323 M,mag hin hilg,Magnús the Holy.
N 324 M,lofaþum,praised
N 325 M,blæcaþer s,blessed he (who)
N 326 M,b^eine,Beini
N 327 M,maria,Mary
N 328 M,-----(r)--(k)--ir,...
N 329 M,r(o)a^r ru(e),Hróarr ...
N 330 M,× a^rnfiþr ræist mik,Arnfinnr carved me.
N 331 M,ga^ut^e,Gauti
N 332 M,k b s,... ... ...
N 333 M,blæs,blessed(?)
N 334 M,+ askrimr +,Ásgrímr
N 335 M,or------------,...
N 336 M §A,ion §B ion,Jón §B Jón
N 337 M,a^rne prestr ui(l) hafa ig<u>,Árni the priest wants to have Inga.
N 338 M §A,(a)(s) -(b)(m)-(y) : (h)(m)(k) : (m) §B {ABCDE(F)GHLIKMOPQ (H)},<hnias tbmly> ... ... §B abcdefghlikmopq ...
N 339 M,t mir,... me(?)
N 340 M,-r-uþ-,...
N 341 M,io^n,Jón
N 342 M,ornesi,Órnes
N 343 M,a^ue,Hail
N 344 M §A,lige^r i : pa^le^ ^lifir hæimsleha hin^n er bæþ undir ser beleitir sdundum §B þa^r munu matka^r ma^rher ga^uga sem a duni søfe^r dote^r at^l^la,"(He) lies on the bench, lives foolishly; he who beds underneath him is sometimes soaked. §B There will many maggots swarm, as Atli's daughter sleeps on down."
N 345 M §A,gut^rit ÷ in nomine ÷ pat^ris ÷ et fili ÷ et §B spiri¶¶tu ÷ santo ÷ amen ÷ tominus iesus crit^us ame,"Guðríðr. In the name of the Father and of the Son and §B of the holy Spirit, Amen. Lord Jesus Christ. Amen."
N 346 M,guþ hia^be þer trautto,May God help you ...
N 347 M,+ hafe maria krasia blena tomius stekum benatit|a| |t|aus in mulieribus æþ be,"Hail Mary, full of grace. The Lord is with Thee: blessed art Thou among women and blessed is."
N 348 M §A,emanuel sabaoþ aþo¶nai usion agios oþan¶naþos ælæison ¶ alfa æþ o §B messias soþer §C filæhs artifæhas ¶ deus iesus saluat¶or agios oþonna¶þos ælæison aæl ¶ (g)aagelai ag(e^)la,"Emanuel, Sabaoth, Adonai (Lord)(from the five names of God in Messias, Soter, Emanuel, Sabaoth, Adonai) ... Holy, Immortal, Have mercy, Alfa and Omega. §B Messias, Soter §C fortunate, maker, lord Jesus the saviour. Holy, Immortal, Have mercy ... ... agla ('agla' = Thou art strong in eternity, Lord)."
N 349 M §A,+ bono bena fin bona bena §B bæiofæ,"good, favourable ... good, favourable §B ..."
N 350 M,þettas {K}ir{K}ia^n a {K}irkiuuelle,This is the church of Kirkjuvôllr.
N 351 M,þo^rir · ræist · runa^r · þessa^r · þan · olaus·mess·o^æpþa^n ¶ ...r han · fo^r · he^r um ¶ ÷ bæþe^ ^ge^rþo^ ^no^(r)ne^r · uæl · o^k · il^la · mikla · møþe ¶ g skapaþu · þær mer,"Þórir carved these runes on the eve of Olaus-mass, when he travelled past here. The norns did both good and evil, great toil ... they created for me."
N 352 M,raþ ret þu runar ¶ uh blint (e)s lo at,Interpret the runes rightly! ... Blind is(?) ... the owl's(?) nourishment(?) (ie obscure are the words of the owl).
N 353 M §P,<hor--> §Q <hor> --,adultery-(?)... §Q whore ...
N 354 M,-,...
N 355 M,pati,gossip
N 356 M,{K} æ ' b {K},"Lord have mercy, blessed is he who(?)"
N 357,$M kirkia^n a^ ^kirkiuuelli a mik,$M The church of Kirkjuvôllr owns me.
N 358 M,kuþ styþi huæn er mik styþer til utfærþar,May God support whosoever supports my expedition.
N 359 M §P,{K} l §Q pl,May God reward(?) §Q ...
N 360 M,r<a>n t^r<yll>,Ragnarr(?) the Stout.
N 361 M,kn(u)(a)(s),...
N 362 M,m(a)tig biorn siriþ,Mighty/Talkative Bjôrn and Sigríðr
N 363 M,trnralaba^la^lisa^rnþa^la^ln,...
N 364 M,tistil mistil ok <h>n þiriþi þistil,"'tistill', mistletoe and - the third - thistle."
N 365 M,tistilsmiso<h>nþrl(e)--,...
N 366 M,tilsbnr,...
N 367 M,tis,...
N 368,$M klemetr · ræist ru(^n)ar þesar sunutah þan er nestr e^r æpt(e)r iol guþ gæte (h)ans o^k in hælka m(æ)r,$M Klemetr ræist these runes on the Sunday which is next after Christmas. May God and the holy maiden protect his.
N 369 M,-(u)(þ) fani sal þira bæikia,May God welcome both of their souls.
N 370 M,cl,...
N 371 M,dbc,...
N 372 M,------------/...,...
N 373 M,m^a^ria,Mary
N 374 M,-,...
N 375 M,mnri,Mary
N 376 M,n : iþ : rh : i,... ... ... ...
N 377 M,ka^nuli,Knútr's
N 378 M,kirkia ÷ sa^nkus ÷ kalikr,Church. Sanctus-bell. Chalice.
N 379 M,fuþorkh,<fuþorkhnias>
N 380 M,kir,...
N 381 M,hi banaþo ...,the forbidden / accursed ...
N 382 M,besse,Bessi
N 383 M,a^u^e m^a,Hail Mary
N 384 M,þe^nna (:) sta^(f) : (g)a^f : siþhriþ : a hu... ...irir so^lo a^r^ndo^rs o^k se^r til misku^na^r,Sigríðr of Hváll gave this staff for mercy towards the souls of Arnþórr and herself.
N 385 M,asuin,...
N 386 M,olafr kunukr skaut mili stæina þe(s)a,King Ólafr konungr shot between these stones.
N 387 M,ionsmæsodahr er nu,Now is the day of Jón's-mass.
N 388 M,ek t^rui a guþ,I believe in God.
N 389 M,petronile,Petronilla
N 390,†M [+ koþ trotin hialli ia(l)o + k(æ)tila +],†M May Lord God help Ketill's soul.
N 391,†M [+ hær huilir : unþir : a^rn¶finþr ÷ iaua^r(t)c:son],†M Hereunder rests Arnfinnr Jatvarðr's son/Hávarðr's son.
N 392 M,loka^r fa^l loka^r sin i loka^rspo^nom,Lokarr ('plane') concealed his plane in the plane-shavings.
N 393 M,nu · er · ba^lm·sunua^fta^n ¶ troten· hia^be · þæim| |manni · ¶ er · þesa^r · runa^r · ræist · sua þæim · ¶ er · þær · ræþr +,(It) is now the eve of Palm Sunday. May the Lord help the man who carved these runes; likewise he who interprets them.
N 394 M,fuþorkhains,<fuþorkhnias>
N 395 M,a^ue ma,Hail Mary
N 396 M,kuþ min ok hi ælak ma^ria,My God and the holy Mary.
N 397 M,kirkiu,church
N 398 M,su^nr,son/south
N 399 M,glo^ri-,Glory
N 400 M,hælh(e),Helgi
N 401 M,sol(i) si-,alone be(?)
N 402 M,au- --r--...,Hail Mary(?)
N 403 M,styllaug,Styrlaugr
N 404 M,sa^n^ta^ ^mic,Saint Michael
N 405 M,... m(a^)rtiri(b)us : l^eti(m)ini · e{X}ult^ent · iusti · mirabilis (a)...,... You rejoice with the martyrs! The righteous exult with wonders ...
N 406 M §A,a ÷ ra^n §B mac,... ... §B ...
N 407 M,synri,southerly(?)
N 408 M,r^ ^r ra^r,Interpret the runes rightly!
N 409 M,(m)-(t)---(i)(k)/(h)-(d)---(i)(k),...
N 410 M,fu,<fuþork>
N 411 M,guþ hia^lpe þæim er mik ræist in þat ua haukr,May God help he who carved me and that was Haukr.
N 412 M,ma^ria,Mary
N 413 † §A,[+ krur : biria:suar : risti : stin : þina| |at : nu-... ...] §B [katils:sunar : is : nir : uas : naukuin : is : itin : sia : stinr +],"Grímr Bersi's son raised this stone in memory of Þór-... ... §B Ketill's son, who was cut down here where this stone stands."
N 414 M,÷ --n ÷ (s)(s)(r) (a)(a)^(r)(b),... ... ...
N 415 M,...(r) rist,... carved
N 416 M,eirikr,Eiríkr
