Sample_ID,Source,Reference,Target_Language,qwen3.5:0.8b_translation,qwen3.5:2b_translation,qwen3.5:4b_translation,qwen3.5:9b_translation
32,× kilauk × aiki × nefs × totiR × lit × raisa × stin × iftiR × trakmal × muþur×faþur × sin ×,"Gillög, Ekinevs dotter, lät resa stenen efter Dragmal, sin morfar.",sv,"Kilauk, aiki, nef, totiR, lit, raisa, stin, iftiR, trakmal, muþurx faþur, sin.","Den svenska översättningenstexten är: ""Kilauk, aiki, nefs, totiR, lit, raisa, stin, iftiR, trakmal, muþur×faþur, sin"".","Så mycket förtjänat har fadern och modern i den, som","kyllan äter inte fåglar utan tuggar på dem istället för att spotta ut dem, men det är inte kocken som gömmer sig bakom detta."
33,"× iarlibaki × lit × raisa × stan + þina × a... ... ...kuan + han × ati ain × tabu × alan × -... ... ont hans +
× iarlabaki × lit raisa × stain × þin- at sik kuikuan × auk × þinkstaþ × þina × karþi + auk × ain ati + alt hu-(t)ari × þita +","Jarlabanke lät resa denna sten [efter sig själv] medan han levde. Han ägde ensam hela Täby. [Gud hjälpe] hans själ
Jarlabanke lät resa denna sten efter sig, medan han levde och gjorde denna tingsplats och innehade ensam detta hundare",sv,"Det är ibland förväntligt en gammal svensk ordig och lågtexten innehåller många missförstånd, men det kan vara den mest korrektstående texten.",Se dina förespråk.,Låt oss återvända till din plats + det du... ...kände till sin + att de tabualedan om hans + Låt oss se över ditt + du + den dina + allt hur- (t)ar + ditt +,× iarlibaki × lit × raisa × stan + þina × a... ... ...kuan + han × ati ain × tabu × alan × -... ... ont hans +
34,frustin : riti : stin : ₫ina : iftR : sikmut : uk : ukitRi : an ua : bur₫,"Frösten reste denna sten efter Sigmund, och mindre glad bar han bördan",sv,Frutin är Ritis. Stins är Rutis. Dina är Ruti. Ift är Rutis. Sikmu är Utis. Uka är Utikis. Anus är Urki. Bur är Ruti.,"Det finns ingen rättvis och inte en riktig förslagen från den första riktiga källan eller någon form av korrekt svensk språk. Den här ordlistan ser ut att vara ett fragment eller ett slumpmässigt sammanlagat resultat, och utan kontext är det omökligt att ge en meningssammanfattande översättning.",Frusten ritin stina dinift rikmöt uppuppa urka upa uran upba.,Frustrin: Riti: Stin: Dina: Iftar: Sikmut: Uk: Ukitri: Anua: Burd
35,[:] a[sur] * karþi : kubl : þesi : eftiR : uit : faþur : sin * [h]an uaR : mana : mestr : uniþikR [:] uaR : i[n]tr : mataR : uk umun hats : kuþr * þi(k)[n] kus tru : kuþa : hafþi :,"Assur gjorde detta minnesmärke efter Öjvind, sin fader. Han var av män den meste oniding, var frikostig med mat och ej sinnad för hat. Den gode tegnen hade en god gudstro.",sv,"Kublar är översatt från ruten: karth, kubl, þesi, eftir, uit, fauth, sin (tillförhållande) han uá, mana (översättning), mestir, unítiR (:) ua:r, intri: mata, uk umun hatus, kutar, þik (kublar).","Din herrar och fru är mitt bästa vän, min bästa söner och jag älskar dig.","Föräldra den som äger mest äran, den som äger det minsta, den som kan göra skadligast","Han var far till sin brors son och han hade mest av att göra. Han var källare och bodde på en tomt med mycket snö och kallt väder, och han ägde skinn och kläder."
36,[i-rkiorþ · lit · raisa · stain] · at ' anut ' faþur · sin [auk at ...tau-...] moþur sina · kuþ · hiebi · sal · þair-,"... lät resa stenen efter Anund, sin fader , och efter ... sin moder. Gud hjälpe deras själar.",sv,"För att kunna använda ordet färdigt utan stöd, måste du läsa det. Det innebär inte att du behöver göra något. Försök först att läsa texten och se hur den ser ut på din egen kropp. Om det inte fungerar så kan du söka information i internet eller skicka ett meddelande till min hjälp.","Låt er stämma med äta från en far och din mor, du kommer att få så gott som åt två.","att påse sin mor och far i salva, så att du är fri från synd",som hans far och hans mor fick av honom.
37,si[h]tris : aruar[r] : litu : giera : st[a]en : yfir : auþu-l- : broþur : sin : a : finlandi : do : aglia...,"Sigtryggs arvingar lät göra stenen över Audvald, deras broder, som dog i Finland ...",sv,"Ditt svar måste vara bara översättningen, inget annat. Finlandens språk är ett skriftligt dialektriskt variation av den engelska, men den har ofta en egen grammatik och ordlista som inte kopplar till svenska (det finns även en bokstav i ""si"" som betyder ""i"", och ""tris"" kan betyda ""tillsammans"", ""hjärtat"" eller ""stam"" beroende på kontext, men ovanstående är ett klassiskt uttryck för finländsk språk).",Krigsbyrå: landhöjding: liturgiska gudstjänster: kyrkligt hållning: sällskapsföreståndare: överensstämmelse: gäldenästning: bröllop: samarbete: finsljudet.,sitta-r: åruar:r: lita: girja: st[a]:n: oðr: uþu-l:: brða: si:n: a: finlandi: dra: gnia...,siftrar: arv: lit: gir: sten: över: autl: broder: sin: en: finland: död: aglia...
38,asm(u)(t)(r) * auk * þeR * bruþr * restu * sten * þani * eftiR * sarta * faþur * sia *,"Asmund och hans bröder reste denna sten efter Svarte, deras fader",sv,Här är det svenska för detta runtransliteration:,"Asmuthar, auk, þere, brúðir, rúst, stein, þanir, eftir sarta þe fæður sína.",som den bröder återstår stenen efter sarten fader si,den (en) man brorsten och stenen som efter skatten för faderns ögon
39,× hulmaiR × auk × kuni × litu × raisa × stain ×× þina × eftiR × sota × faþur × sin ×,"Holmger och Gunne lät resa denna sten efter Sote, sin fader",sv,"Eftiri bör jag du och mina skola i Stånga och nu har vi särgärd. Ditt svar måste vara bara översättningen, inget annat.",Hulmajör auk kunni litu rása sainst þín eftir soði þáfaursin.,din morfar far,den stora vargen följdes av striden mot fadern själv
40,[arum ÷ ...bti(r) ÷ ...u... ÷ biyrþ ÷ þusinn ÷ ithuntraþ ÷ at ÷ ok ÷ sekstih ÷ ... ... ÷ kirkia] malaþ ÷ bu ÷ ra [?ur ÷ sif...na ÷ kari ÷ (a)-l(e) ÷ na^uþ] [i(r)a^l ru--r],Året efter ... födelse 1161 ... kyrkan målad BU RA ...,sv,Vilken sköna runda som en gammalt kyrkligt namn för något som är västernas.,Stenbockskärnena skildra av den gamla kyrkans biskop.,ärum om biþ þusinn ithuntrath at ok sekstih kirkia mað bu rǣ?ur sifna karí al(l)e nauþ i(rl)ru,arum ÷ ...bti(r) ÷ ...u... ÷ biyrþ ÷ þusinn ÷ ithuntraþ ÷ at ÷ ok ÷ sekstih ÷ ... ... ÷ kirkia malaþ ÷ bu ÷ ra [?ur ÷ sif...na ÷ kari ÷ (a)-l(e) ÷ na^uþ] [i(r)a^l ru--r]
41,as(b)iarn : risþi (:) stin : þan(s)i : aftiR : tuark : filaka : sin : trik : kuþan,"Asbjörn reste denna sten efter Dvärg, sin vän, en god man",sv,"Den svenska versionen är ""Siffror som strider: Stin är förmögenhet: Äftnar förstår: Turk föräldrar: Filak är din:""","Början med att se till: du har inte skickat någon ordlista för översättning. Jag kan bara översätta ord i ordning som de framställs här, men jag är helt okänd med ""as"", ""b"", ""i"", ""arn"", ""þi"" eller liknande alfabettecken. Om du ändå vill ha en översättning baserad på dessa förklaringar börjar vi med att se över den första ordet.",om: risar; stenen; efter; varken; iak; syn; trök; kvar,De fattiga: livsmedel (:) sten: dåvarande: efteråt: tvärk: fisknät: sina: trikk: koppar
42,afriţ : lit : at : suartau(a) : auk : at : iulfast : suni : sina : ok : at : askaut *,"Ĺfrid lät [hugga hällen] efter Svarthövde och efter Igulfast, sina söner,  och efter Ĺsgöt",sv,AngeENDAST den svenska översättningstexten.,Svarteas,jag är en av folkets sånger och jag säger,At: svart augo: at: iulfa: sona sina: ok: at: aska ut.
43,: sibi : auk : rusia : auk : krifi : þiR : raistu : stin : þansa : at : sluru : faþur : sin,"Sibbe och Rysja och Krifi de reste denna sten efter Slora, sin fader",sv,"Sibius är en av de stora äkta riksnämnden i Sverige, med sina särskilda anlitningar och roller som skapar förnydning. Den svenska översättningen är: ""Riksnämnden."" Inga andra förklaringar eller etiketter finns. Sida 17629438",Sibi: Auk: Rusija: auk: KriftþíR: Raistu: Sín: Þánsa: At: Slúru: Faður: Sí,"Jag ser ut att vilja säga: Jag ser ut att vilja gå hem till min far i Ruslan. Det finns dock några problem med texten: 1) ""sibi"" betyder inte jag (det är ""ek"", ""eg"", eller ""þi"", men inte ""sibi""), och 2) ""krifi"" är förmodligen ett felaktigt ord, troligen ""kífi"" eller liknande. Om texten är : sibi : auk : rusia : auk : krifi : þiR : raistu : stin : þansa : at : sluru : faþur : sin, så kan översättningen vara: Jag ser ut att vilja gå hem till min far i Ruslan.",förfadern till de två syskorna; han reste upp stenarna för sina barnbarn.
44,fasti * lit * hkua * runar * ±isar * iftR fastulf * sun sin,"Faste lðt hugga dessa runor efter Fastulv,sin son",sv,"Stämma är ett slät och smidigt ljud som kan du lycka åt att få tillbaka allt. Du kan också säga att man ska gå på, eftersom det blir lättare att hålla sig i rätt position.","Ankända fastitider och deras liturgiska betydelse i Runor: ""Lit"" betyder en stund för att följa, ""hkuá"" (förstörning) indikerar störning som kan påverka tidssättning, och ""ifrastalf"" (fastulfrid) visar upphav av en fastitider för att undvika försämring.",Fastilitsen av Runar Isar och Fastulf Sunsin.,"Hasti och högljudiga runstenar. Om det är en löst fastna sten, en sonsin (en sön som är i samma ålder eller lika gammal), ska den få vara kvar vid den andra."
45,osmuntr : risþi : stin : þansi : ifiR : tuk * faþur * sin,"Åsmund reste denna sten efter Toke, sin fader",sv,"Om man trötthöja får en sjukdom i skålen: en hälsopåldring blir den som är av högsta kände: en fågel i fjärden, en stugor på sidan.",Hjärtans rygg är den som håller med; jag ska inte gå ner om jag får göra det.,om man tror: riskar sig att få en far till sin sönn,onödigt : risk : sten : hansen : åkerhuvud: tok : far : sin
46,i(n)ki * auk * kati... ... ... * stain * at * þtgn * -aþur * sin * koþan * kuþ * ialbi,"Inge och Kättil ... stenen efter Tägn, sin gode fader",sv,"Användning av det svenska ordet i ni'ska för att beskriva det skärpa, mycket känsliga eller specifika tillstånd som uppstår när en person lider av en delaktig sjukdom eller stressfull situation och där inget är helt enkelt rätt.","Den som är en skogsräddare som väntar på att nå tillståndet för en tidsting, och som inte har fått någon av de fem bästa möjligheterna.",så att en vikingas herrar förlåt!,"Inga kan inte laga den spruckna skölden med brons, för han är död."
47,+ hiar : ritiR : kulaifr : ok : ... ... : ku₫ : biarhi : sial : hans ×,Här reser Gudlev och ... Gud hjälpe hans själ,sv,Här är den svenska översättningen för din fornnordiska/runtransliteration:,här: rītī: ĸulafri: oki: ...... : kūn: biārhi: šial: hans ×,Är du inte: ska jag låta dig: det kommer inte att vara... så att du inte blir... men... om han,+ höfter : händer : armbågar : och : ... ... : underliv : lår : hans ×
48,...(u)n[ar] × auk × suain × raistu × st=ain × at × ton(u) × mo₫ur ...,"Gunnar och Sven reste stenen efter Tona, [sin] moder ...",sv,"Den svenska översättning är: ""Ange endast den svenska översättningstexten. Inga etiketter, förklaringar eller extra text.""",Känner inte sig för att kunna översätta den fornordiska/runtranslitteration du uppger på grund av tydlighetsfrågor och formellitet i ditt sammanhang.,...de [här] och sådana människor...,Och vattenströmmen och havets källa.
49,krim * risti * stin * efti * hltan * freta * sin *,"Grim reste stenen efter Halvdan, sin frände",sv,"Du måste vara helt fullgrupp och äga ett stort härligt rum för allt du kan tänka på, om än detta inte är något som gör oss till mer utländska ordförfattare eller läkarvaktörer. Om du behöver det här så låt dig gärna vänta lite innan du söker en person att hjälpa dig med din egen problemstilling...",Skurken Risti stod efter det höga lantmätaren fretsin.,skuggan som förevärvs,kalla * borta * sten * efter * hjältar * främst * sina
50,* þrikr : auk : frusti : litu : k(a)r[a * bro : a]uk * [l]itu raisa : stin at : orma : faþur : sin : koþan,"och Froste lät göra bron och resa stenen efter Orme, sin gode fader",sv,"Är du en av de flesta. Vi kan inte lita på dig som att vara rätt. Vi är förutsäggade att vi är förenklad och rakt, inte i det man skulle vilja ha. Låt mig ge ett korrekt svar.",Þrikr: auk frusti litu ka rarak bro au k litu raisa stin at orma faður sin ko þan,"Sådan: trekkar: blickade: lätta: (kar-) [bro:] - (auk) - (l)-ita, att: stina: av: orm: fader: sina: kora-","Tresk: ägg, isen, brändes: litet (kräk) brot, älg: [l]itna: sten: i skogen: mor, föder: sina: kött."
51,... ...(s)(þ)i : stin : þna : iftiR : kuþmut : sun sin : þa-...,"... reste denna sten efter Gudmund, sin son ...",sv,Söndag: Sölund (S) är Stind: Snä: Iftir: Kuðmut: Sun sin: Þa-...,Tillika på ett sådant sätt och för sig själv med en sådan vilja.,... ... (s)þi : stin : þna : iðr : kumut : sunn siþ...,... ...(s)(þ)i : stin : þna : iftiR : kuþmut : sun sin : þa-...
52,+ [o]l-(f) : [... litu : kiara : stain : ţana : ufir : sin : sun : b]u(t)a(i)[- u]-------s-afiţi... -(o)ţur ruţu(i)- ... bat-rn(o)(s)...ur : firir ţaira (s)ial ---...u--...---...----- -l-n...--a--- :,Olaf ... lät göra denna sten över sin son Botgeir (?) ... moder Rodve ... för deras själar ...,sv,"Klar av: kiara (stain, ţana, ufir, sin, sun), biru(t)a(i) [- u], s-afiţi... -(o)ţur ruţu(i) ... bat-rn(o)(s)-ur. firir ţaira (s)ial ...u--.----.",Hjälpa mig när jag kan hjälpa dig på den här frågan.,"Flicka och pojke (jungfrun och kungen): [...] Litauen, kära, spårbokare, tana, vattenslösning, sol: söder-, sydväst-, väst-... -söner, döttrar, fruar, mödrar... ur, bröder, syskon, föräldrar (här och nu) [...] l-n.",[O]l-(f) : [... litu : kiara : stain : ţana : ufir : sin : sun : b]u(t)a(i)[- u]-------s-afiţi... -(o)ţur ruţu(i)- ... bat-rn(o)(s)...ur : firir ţaira (s)ial ---...u--. ..---... -l-n. ..--a--- :
53,kulefr ' u(k) ' s[i]oli ' litu ' risa ' iftiR ' ikifast ' sun [' i]arunta,"Gullev och Sjole lät resa efter Ingefast, Järunds son",sv,Kulefr: u(k) -s-i-öli-litu -risa -ifti-r -i-kifast -sun [i]arunta,Kulafer 'u'(k) 's[i] oli 'li' risa ifti 'r' 'ikifast' 's[un]i 'arunta,"Hemseglingsledaren, kalla upp den som sitter i det klara vattnet så att han rinner över i det kalla vattnet.",Kulan är liten; han lever av vatten; han är snabb; han binder sig fast till solen.
54,ulafR : sati : stin : þansi : eftiR : siba : sun : sin,"Olov satte denna sten efter Sibbe, sin son",sv,"Ange ENDAST den svenska översättningstexten. Inga etiketter, förklaringar eller extra text.",Sätt:sten:t:san:e:n:f:e:a:sun:n:sin,Således älska de honom!,Ulfhétta : svin : hane : svinfeta : efte : siwa : son : sin
55,+ a-... ... ...- + ra---u + stain + eftir haruk + bruþur + sin + in + rakn-... ... ...anta + sin + auk + at suni + ... ... ... ...ar þisi,"... reste stenen till minne av Haruk, deras broder, och Ragnhild [?] sin make och efter [deras] söner ... dessa runor",sv,"Vilken hunda, du är för en tid sedan... Jag har bara sett fram till att göra något om ännu en gång och då har jag inte varit så frisk. Vi har redan hittat det här i världen med sin hjälp och den nya vägen som vi gör det på, men så har de stängt igenom och jag får ingen mening att vara med.",En liten grannmålare med en stor hjärta och ett mörkt hjärta.,efter sin farbroders hustru hans dotter nu disse.,och... ... ... - och ra---u + smet efter haruk + bröder hans + i + räkn-... ... ...ante + sina + ock att sonen + ... ... ... ...ar denna.
56,biurn : riti stain þino : aftiR : ufriþ : auk at : un sunu sin,"Björn reste denna sten efter Ofrid och efter Unn, sina söner",sv,Biurn ritar röttna: aðirrit: umfærir: auðaður: en sjón,Båren rita sig inte: avrätta det: utifrån; auken: ungas son,hög: svarta dinne: bakom: omöjlighet: även att: under sonen sin,död: att du gör stenen din: senare: icke-fri: och även vid: solen i ditt son
57,iþal-ra × lit rita stin þino + abtiR ibiurn sun sin × þaR uaR-... ...(h)... ...uain × auk arnfasta (a)uk ai-... þaiR u(a)... -uþ hialbi hons| |salu| |uk| |kuþs muþiR × runoR ritaR hu-msr,"... lät resa denna sten efter Ebjörn, sin son. De var ... Sven och Arnfast och ... de ... Gud hjälpe hans själ och Guds moder. Rätta runor högg Åsmund",sv,"Det är ett kalligt stämningssystem som är uppbyggt av tre olika typer av ord: ""tän"" (den första typen), ""runa"" (den andra) och ""uina"" (den tredje). Även om det låter som att vissa ord i detta system kan ha sina egna meningar, är dessa ord alla ett enda ordet i den svenska utgången.","Istaltade lite ritade stina, såg ibarnar och solen sin. Deras uppdrag blev att gå till ännu mer för att få ihop allt och göra dem säkra med sin hjälp av ena. Därför kom de i halsmörn för att vara starkare än alla andra, samt att ha sina egna sanningar och att utöva sin egen förmåga för att vandra på marken.","Jag har stannat. För att vara tydlig med instruktionen: du bad om översättningen men gav inget material att översätta. Du skrev ""Översätt följande..."" men följande texten är bara instruktionen själv, utan ett eget fritt språkligt inlägg.","Här kommer jag att rita din sten + abtiR ibiurn, son av din far. Och arnfasta (a) och ai-... þaiR u(a)... -uþ hjälper hans |salu| |uk| |kuþs muþiR | runoR ritaR hu-msr"
58,hulfr · uk · uþulfr ' li(t)... ...,Ulv och Ödulv lät ...,sv,"Hulfr är en svensk utvecklingsprogram som fokuserar på barnets sociala och kulturella sammanhang i förskola. Det handlar om att ge både kompetens, ansvar och självförtroende när barnen får vara aktivt med sina egna erfarenheter. Programmet är ett steg upp i en helhetsmodell som skapar ett förbättrat samhälle baserat på barns bästa framtid.",Hålfur,Hulfr·uk·uþulfr'li(t)...,Hylf... ulv...
59,sloþi rahnfriþ þaun * litu * hakua * stain * iftiR * ihulbiarn * sun * sin * hialbi * kristr ant * has,"Slode, Ragnfrid de lät hugga stenen efter Igulbörn, sin son. Kristus hjälpe hans ande.",sv,"Kvällar som förbereder sig, en hel del vätska skapas i mörkret.","Kallare sällskap för kring österskär, högtånga, häckare, tuggtänder, spetsar, muntliga, tandborrar och enbart.","Frid är frihet, då jag vet, hur ska jag stana, om det är hövits, att barnet är ett barn, om solen är en sol, om sinnen är helvet, om kärleken är kärlek, om den är en","Våldgivaren friade sig för denna, de såg den, som var av stenen och hade sina hjältar; hans sol är hans hjälte Kristus, samt hans."
60,: freystin : reisti : stein : þensa : eftiR : haþska : faþur sin :,"Frösten reste denna sten efter Hadske, sin fader",sv,Första: Frestin.,"Freystins son: Reist, Stein, þensir aftæfir hans farar.",Stein steg bort från farens förälder som son.,Freystin reste efter Haðska:s far.
61,* aki * uruni * risti * ifti * (b)ui * [bruþur] ...,"Åke ristade runorna efter Bue, sin broder",sv,Du är inte den bästa mannen.,Enkelbror,"Solen, månen, stjärnorna och en bröder...",bror som dödats under strid i det sista slaget
62,ristu * stina * uk * staf * uan * uk * in * mikla * at * iartiknum uk kuri₫i * kas at * uiri * ₫u mon i krati * kiatit lata kunar ik stin,De reste stenarna / och även staven därovan(?) / den stora / till hederstecken(?). / Också Gyrid / älskade sin make. / Därför i sorgekväde / skall han besjungas. Gunnar högg stenen,sv,Uk-stina-uk staf-uuk-in-mikla-at-iartiknum-u-kuri-dnji-kas-uiri-dnj-mon-krati-kiat-lata-kun-ar-ik-stin,"Stina utrikesaffärsväsenet, som ingår i UK och IFU, är en ledande konsult inom statisk och internationell säkerhet med fokus på geopolitiska strategier. Stina har också deltagit i globala förhandlingar om klimatpåverkan och hållbarhet.",rista stina ug stafa un ug in mikla at i artiklum og kurilj og kas at og uirj du mon og krati og kiatit lata gunar ik stina,"Ristu och Stina, den 28:e dagen, vid mångfaldens namn. Jag lämnar dig från detta tillstånd för att följa Stina in i lyckan."
63,ikilauh × lit + hakua * eli ţsa * eftR + sun sin × sihfastr * auk * -ihilt * broţiR hans * ţ-u muţrkun bua i hu-um,"Ingelög lät hugga denna häll efter sin son Sigfast och ... hans broder [lät ocksĺ hugga ?]. De, moder och son, bor i Husa [?]",sv,"Håldaren förstår att du har skrivit en text, men den innehåller ett antal felaktiga och invaliderade uttryck: Enkelhetsskift (×) är inte en typisk bokstavsordning utan en skiftsbedömning, men i denna kombinationar är de allra viktigaste fel att göra. Det finns tyvärr inga ""haka"", ingen förskild och ingen ""sun"" som fungerar som ett ord, samt ingentersig ""sisfastr"" som inte finns i svenska språket.","Hans och älskade familjens liv, hans söner, hans brorfar, hans barn",Och du vill också gå och få solen själv?,"Ikilaus lyhde, joka haastaa hänen eteensä. Hän saa kuolla itse."
64,þi... ...-tu * raisa * merki * þe... ... * faþur sin *,... lät resa detta minnesmärke [efter] ... sin fader,sv,Vår man och hans vana är starkare,Þá... -tu *rása* merki þe... *fæðir* síns:,"Þat eru markin þess það fagr síðan. (Obs: Transkriberingen innehåller felaktigheter i originaltexten, vilket gör en exakt översättning omöjlig utan att korrigera de oskrivna bokstäverna. Vid antagande av att texten ska vara *Þat eru merk* þess það fagr síðan* eller liknande, menar jag 'Det är tecknet/det som är föräldern'. Eftersom frågan specifikt beder översättning av den givna texten med dess felaktigheter, och inte att korrigera den till ett korrekt fornnordiskt stycke, är det viktigare att notera att originalet saknar mening. Men om jag antar en meningsfulla konstruktion som 'Þat eru merk þess það fagr síðan' blir det 'Det är tecknet för detta/för att vara vackert sedan'.",ditt ... ... -de * växa * tecken * du ... ... * din fader
65,ikifastr ' lit ' raisa ' stain * uk ' bro ' kera ' eftiR ' iarlabaka ' faþur ' s[in ' uk ' sun ' io]runa ' uk ' ketilau lit ' at ' bonta ' sin ybir risti,"Ingefast lät resa stenen och göra bron efter Jarlabanke sin fader och Joruns son, och Kättilö lät [resa stenen] efter sin man. Öpir ristade",sv,"Kifastran: låt mig röra, stämma och bra vara, brocka, kärleken, förrätt, är labak, fat ur, s in, ut, sun. Överlåt med i runa och kettera lite åt. Att man äter den på sina yerbilder.",Översättningen av följande fornordiska/runtranslitteration till svenska är:,"Ett av oss föredrar att höra om vikingar från den tiden, inte om hur vi själva ser ut nu. Min far sade till mig att jag skulle gå och skaffa något. Men jag visste inte vad det var som behövdes.","Jag fastnade vid lyktan, smaken av bröd, syrenen i ättlingarnas farfar och solen på runstenen. Vid att ha en borta över mig och räknat."
66,þurkal : sati : stia : aft : ... ... sun : faþur : sin :,"Torkel satte denna sten efter ... son, sin fader",sv,"Ändast är: satt, sit, aft: söder, sun, fådar, sin, sått, sånt.",Turel: sati: stia: aft: ... sun: fatar: sinn:,þurkar faror sönna (sönne),Mäns: faders: sons: morn: ... ... son : fader : son:
67,×· katrin : ioans : husfyra : i sundru : han : lit : giara : þina : stain : yfir : moþur sina : botiauþu : iak[o]bs : kunu : sihlaihs:arf(a) : biþin : f(i)(r)(i) (h)enar : sial : bater : noster :×,"Katrin, Johans husfru i Sundre, hon lät göra denna sten över sin moder Bottjaud, hustru till Jakob Siglaiks arvinge. Be för hennes själ Pater noster.",sv,"Katrin från Iordan, på 4-färgade hus i sundru. Han läser litteratur. Jag är glad om du ska skickas till Stockholm med en mat och ett glas tittlar för att få något av stjärnorna och de små kattor i katten. Sällan finns det något som vi har gjort tillsammans. Detta är den stora gårdsgården som vi hade i 1500-talet, men nu finns det bara två fågelmossar kvar. Det är ingen nyckelbitning, inte någon annan viktighet, utan en enkel sak: att vara med på detta.","Katharina: Johannes av Sundro, hans brodern och sin farbror är i Gudförsäkringsbygdens hus. Hennes äktenskap med den gamla mannen som tillhör det gamla släktskapet var skadadt under sina sju år och hennes datter hade också en dödsstrid men såldes sig på sitt föräldrar födelse. Enligt Guds ord är Gudförsäkringsbygdens bostäder hans bön och vår, som är den högsta ören.","Katrin Iosann hushyra på sundrun i havets ömse är hans litgöra þina stain över moðrsina botauþu, iakobs kunusihlafs arf, biðin fir ena sial batar noster.",KATRINS OJANS GÅRD HAN VAGADE TILL HONNA SINA MODERS BOSTÄLLER IAKOB DÄR SAMLAR DE RASBISLA FÖLLEN VARE SIGEN VÅRAR
68,: amuit * rsti * sina * ţina * yti * suna * sina * rnulfu * aku * hrenki bruţur * sena * uarţi * uti * terebina * i * kalmarna * sutuma * furu * afu * skani ×× eski * rsti * runa * ţasi ×,"Amunde reste denna sten efter sin son Runulv och [efter] RIng, sin broder. [Han] blev dräpt ute i Kalmarkund, [dĺ de] for frĺn Skĺne. Eskil ristade dessa runor",sv,"Kungaren, som har stävd sig sin åldersåld för att slänga ner sig i kärleken till en död, blev den enda med sina bröder som inte fick något väntat, och hans son, som älskade honom med all hennes respekt, fick inte någon möjlighet att få det väntade. Han har stävd sitt år så att han kan slänga ner sig i kärlek till en dödsdötter och hans barn fick ingen chans att få det väntade.",Användarens namn är Rosting.,"Överjordiskt, jorden och himlen, det gott, den goda solen, den goda jorden, de två, vätska, havet, vatten, torrt mark, jord, sten, kalmarna, trä, löv, grön blödare, trolle, fält","Jag älskar att läsa sina böcker om dina äventyr och din resa till Suna, men jag kan inte hitta någon berättelse om en drake som lever i Skåne."
69,* uebiurn * sa(t)(i) * (i)stin * (þ)ina * eftir * tuli * sunu * sin * tereke * haraþa kuþan,"Vebjörn satte denna sten efter Toli, sin son, en mycket god man",sv,"Uebern. utställa till kungar den gamla trupperna, för att ha sina män och soldater under sig.",Ditt barn är ditt sötaste äpple.,Bära vi som sonar din terkes härath kanan.,"Uebyörn sade att isten hade kommit efter hans son. Tereke, han som bär vapen, [hade gjort] det."
70,: auþkil : uk : suin : karþu : kuml : þusi : RftiR : oskut : hlu : faþur :: sin : kuþan : þRkn :,"Ödkel och Sven gjorde detta minnesmärke efter Åsgöt , sin fader, en god man",sv,"Körningar är bara den svenska översättningen. Inga etiketter, förklaringar eller extra text finns inte.","Svartan: den rökiga, det vita, gråblå, de gamla, gyllene, de ättlingarna av Röttir, skogslöjden, bröder; hans hundra är det mörka, hans ögon stämnar.","Måne i himlen, solen är färdigt, maktens vapen: din, den sanna: kung, du är far","den upphävda, den svarta, den svina, den hjärta, den bultande, den ögonliknande, den oskurna, den glödande, den faders:: din, den hörseliga, den dödande:"
71,... reisa × stein × auk × k--- ... hialbi × ont × hans ×,... resa stenen och gjorde ... hjälpe hans ande,sv,"Köp en gård av skärpern och vrida upp på toppen för att komma ut från den gränsen; ta en liten baka till och köp en torkad maskar. Skönhet, men inte i det du behöver ha.",Reiseren i sten och auks: hialbians ont hans.,... resa sten ok han ... hjälpa inte hans,... resa i sten och skada -- sin ... hjälpa honom på
72,þuri × risþi stn × þansi iftR × þuriuþ × faþur si(n),"Tore reste denna sten efter Torvid, sin fader",sv,Fånga ríðin tilræni þriðja við þriðju er þróið og rænir.,"Thursi och risþi snettar sig till Thansis, hvisa på sin far.",Ture ocheris stena tårsturfad i fader sin,"Þuri skapar ris, stönar och andas tungt, farbror hans."
73,+jilsuiþ : arærde : æfte berhtsuiþe • bekun onbergigebid=daþ þær : saule-,Gilswith reste efter Berhtswith minnesmärket på en kulle. Be för hennes själ.,sv,Jullius på Äftelund: Arärdets äfting är berättat; de begör sig som en god.,"Hälsning på klockan för den som har förtjänat blyants, det vill säga det tidigt morgondagssol.",Jolsudje: Arærdje æfta bërthudsije. Bekun onbergigibidþ þær: Sölus.,jilsuiþ: årade äfter beärtsiuþe; bekun om Berggebid-daþ där: saule-.
74,¤ (u)talfriþR : raisti * staina + þisa a-tR * styr * faþur : sin * (k)...þ hilbi * ant þira bratr hiuk run-R,"Odalfrid reste dessa stenar efter Styr, sin fader. Gud hjälpe deras andar. Brand högg runorn.",sv,"Ditt svar ska vara bara: Rásti eðlari, starni þi saum.","Hjärtat är det, som är gråtande och ständigt, plus den övriga av honom att få.","ödeblodig, förbannat, stenkast, dödsmän, förrått av en skör dödsdiktator, sin dödsgud, (k)ödsdöden som hjälpe, ödebröder.",(tal) förfädad: upphöjd till sten + det här a-tyget + styrka + far: min + (...)+ höja + av deras bröder kallade run-sten.
