Sample_ID,Source,Reference,Target_Language,Prediction
25,[: sbak]R (:) le[t] : kerua : kuml : eftiR : suni : sina : suen : auk * rymik,Spak lät göra minnesmärket efter sina söner Sven och Röming,sv,Så har jag det som jag har.
26,ulafR : sati : stin : þansi : eftiR : siba : sun : sin,"Olov satte denna sten efter Sibbe, sin son",sv,"Ålandr, det svenska översättningstexten."
27,kuþr... ... (f)aþur sin * fur * hfila * hn * til * iklans * kuþ halbi * sil hns,Gudr ... sin fader. Han for manligen till England. Gud hjälpe hans själ.,sv,"Kvitt... ... hans föddes. Han till iklans kvitt halbi, hans."
28,hulfr · uk · uþulfr ' li(t)... ...,Ulv och Ödulv lät ...,sv,"Hulfr och Ulfr, ..."
29,faþiR : lit : hukua : runaR : þisi : uftiR : osur : bruþur : sin : is : nur : uarþ : tuþr : i : uikiku :,"Fader lät hugga dessa runor efter Asser, sin broder, som dog i norr i viking.",sv,"Huga, gå till Ängel. Ängel, gå till Ängel."
30,...rti : le(g)iR : koþ(r) : ---... ...-na : has : lit : rist : kuml : a- : (k)aiRielmR : ... : ainika : sun : þaiRa ·: trabu : leybika- : ... ...naR : at : feþrka : baþa : kuþ : -(e)... ...,"... god läkare[?] ... hans hustru lät rista/resa minnesmärket efter Gairhjälm ... deras ende son
dräpte lybeckare ... stenar[?] efter far och son, de båda. Gud hjälpe ...",sv,...Rätt gjorde det. Han hade mycket mycket. Han hade mycket mycket. Han hade mycket mycket. Han hade mycket mycket. Han hade mycket mycket. Han hade mycket mycket. Han hade mycket mycket. Han hade mycket mycket. Han hade mycket mycket. Han hade mycket mycket. Han hade mycket mycket. Han hade mycket mycket. Han hade mycket mycket. Han hade mycket mycket. Han hade mycket mycket. Han hade mycket mycket. Han hade mycket mycket. Han hade mycket mycket. Han hade mycket mycket. Han hade mycket mycket. Han hade mycket mycket. Han hade mycket mycket. Han hade mycket mycket. Han hade mycket mycket. Han hade mycket mycket. Han hade mycket mycket. Han hade mycket mycket. Han hade mycket mycket. Han hade mycket mycket. Han hade mycket mycket. Han hade mycket mycket. Han hade mycket mycket. Han hade mycket mycket. Han hade mycket mycket. Han hade mycket mycket. Han hade mycket mycket. Han hade mycket mycket. Han hade mycket mycket. Han hade mycket mycket. Han hade mycket mycket. Han hade mycket mycket. Han hade mycket mycket. Han hade mycket mycket. Han hade mycket mycket. Han hade mycket mycket. Han hade mycket mycket. Han hade mycket mycket. Han hade mycket mycket. Han hade mycket mycket. Han hade mycket mycket.
31,ţorstain (l)(i)... ...sa : stain : ţena : ... sik : sialfan : auk : sun : sin : hefni : uaR til : enklans : ukr : trenkr : farin : uarţ : ţa * haima : at : harmi tauţr kuţ hialbi : sialu : ţaima bruni : auk : sloţi : ţaiR ...(u) stan ţena,"Torsten lät resa denna sten efter sig själv och sin son Hävner. Till England hade den unge kämpen farit, dog sedan sorgligen hemma. Gud hjälpe deras själar. Brune och Slode ristade denna sten.",sv,Tostain (l)i... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ...
32,[...is * haou]... ...-fr * ka(s)l ' ok * iufrfast ' lit ' rsa s[tn iftu * faiau sein] ...-l,... och Jovurfast lät resa stenen efter sin fader,sv,... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ...
33,fasti * lit * hkua * runar * ±isar * iftR fastulf * sun sin,"Faste lðt hugga dessa runor efter Fastulv,sin son",sv,"Fasti lit, han har runat, för att få fastulfs son sin."
34,+ iuan * stretn + merki + ok + rahnuor + eftiri boanta +,Kättilfast lade märkena efter Johan streten och Ragnvor efter sin man Holmsten,sv,Egon har gjort denna.
35,fir--(r)iui : lit rita * kuml : yfitiRr : fnþur : sih : baosa : auk : boruþur : kuru- * kuþ hi=a=l-... * ul kuru -ial uti * a| |akla--,... lät resa kumlet efter sin fader Bause och broder ... Gud hjälpe ... föll ute i England,sv,... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ...
36,: tufi : risþi : stin : þisi : iftR : umun : sin : fila...,"Tove reste denna sten efter Umon (?), sin bolagsman",sv,"Tufi, rikstecknaren, har sina förläggare."
37,: amuit * rsti * sina * ţina * yti * suna * sina * rnulfu * aku * hrenki bruţur * sena * uarţi * uti * terebina * i * kalmarna * sutuma * furu * afu * skani ×× eski * rsti * runa * ţasi ×,"Amunde reste denna sten efter sin son Runulv och [efter] RIng, sin broder. [Han] blev dräpt ute i Kalmarkund, [dĺ de] for frĺn Skĺne. Eskil ristade dessa runor",sv,"Härnifrån, den svenska översättningstexten."
38,...-r ' li- r-... ... ...--R ...u(r) ' sun kunars ' i ' risny suain risti,... lät resa .. efter ... Gunnars son i Risne. Sven ristade,sv,...-r ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ...
39,... at ' sik ' silfa... ...--[k]an ' in ' (r)[ai-]-(n) ' -(a)stgi[-],... efter sig själv medan han levde och ... Fastgeir (?),sv,... i sig ... ... ... ...
40,iak * uait : hastain : þa : hulmstain : bryþr * menr : rynasta : a : miþkarþi : setu : stain : auk : stafa : marga eftiR * fraystain * faþur * sin *,"Jag vet Håsten och Holmsten, bröderna vara runkunnigast bland män i Midgård De satte stenen och stavar många efter Frösten fader sin",sv,"Hulmstaðinn, menr, mjökarn, mjökarn, mjökarn, mjökarn, mjökarn, mjökarn, mjökarn, mjökarn, mjökarn, mjökarn, mjökarn, mjökarn, mjökarn, mjökarn, mjökarn, mjökarn, mjökarn, mjökarn, mjökarn, mjökarn, mjökarn, mjökarn, mjökarn, mjökarn, mjökarn, mjökarn, mjökarn, mjökarn, mjökarn, mjökarn, mjökarn, mjökarn, mjökarn, mjökarn, mjökarn, mjökarn, mjökarn, mjökarn, mjökarn, mjökarn, mjökarn, mjökarn, mjökarn, mjökarn, mjökarn, mjökarn, mjökarn, mjökarn, mjökarn, mjökarn, mjökarn, mjökarn, mjökarn, mjökarn, mjökarn, mjökarn, mjökarn, mjökarn, mjökarn, mjökarn, mjökarn, mjök"
41,ikilauh × lit + hakua * eli ţsa * eftR + sun sin × sihfastr * auk * -ihilt * broţiR hans * ţ-u muţrkun bua i hu-um,"Ingelög lät hugga denna häll efter sin son Sigfast och ... hans broder [lät ocksĺ hugga ?]. De, moder och son, bor i Husa [?]",sv,"Jag har denna sten, men jag har inte synat. Han har sina hemliga strukturer. Han har sina hemliga strukturer. Han har sina hemliga strukturer. Han har sina hemliga strukturer. Han har sina hemliga strukturer. Han har sina hemliga strukturer. Han har sina hemliga strukturer. Han har sina hemliga strukturer. Han har sina hemliga strukturer. Han har sina hemliga strukturer. Han har sina hemliga strukturer. Han har sina hemliga strukturer. Han har sina hemliga strukturer. Han har sina hemliga strukturer. Han har sina hemliga strukturer. Han har sina hemliga strukturer. Han har sina hemliga strukturer. Han har sina hemliga strukturer. Han har sina hemliga strukturer. Han har sina hemliga strukturer. Han har sina hemliga strukturer. Han har sina hemliga strukturer. Han har sina hemliga strukturer. Han har sina hemliga strukturer. Han har sina hemliga strukturer. Han har sina hemliga strukturer. Han har sina hemliga strukturer."
42,... l(i)t (:) r(i)(s)(a) : stain : e... ...-an : s(u)(l)... ¶ ... ...(a)uþr : ... ¶ ...(n) : auk : kuþmuntr : þaR [:] [r]... ...[(a)R] : a enklanti : i skiu (:) -uilis : kr... ... ...,"... lät resa stenen efter ... ... död ... och Gudmund, de ristade runorna. Han vilar i Skia i England. Kristus ...",sv,... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ...
43,* uebiurn * sa(t)(i) * (i)stin * (þ)ina * eftir * tuli * sunu * sin * tereke * haraþa kuþan,"Vebjörn satte denna sten efter Toli, sin son, en mycket god man",sv,"Vi har till sig denna sten, och den svenska översättningstexten."
44,sloþi rahnfriþ þaun * litu * hakua * stain * iftiR * ihulbiarn * sun * sin * hialbi * kristr ant * has,"Slode, Ragnfrid de lät hugga stenen efter Igulbörn, sin son. Kristus hjälpe hans ande.",sv,"Här har han frie, men han har inte tillräckligt med sina skinnar. Han har inte i höllbarns sin höllbarns. Kristi ant."
45,× hulmaiR × auk × kuni × litu × raisa × stain ×× þina × eftiR × sota × faþur × sin ×,"Holmger och Gunne lät resa denna sten efter Sote, sin fader",sv,"Hulma er en kvinna, hon har gjort denna sten. Hon är hennes egna."
46,[× gan]uiþr : o^k · botuiþr  · [kaslla · o^k · þair] letu · haga · an stain · o^k · yfr · sin faþur · butair · aitin · guþ · alssualtuhr · hafi · þina · sial · o^k þa uar · l · o... pirimst^efr o^k fir sunutahr · o^k en ha do,Gannvid och Botvid i Kassla och de lät hugga en sten och över sin fader salig Botair. Må Gud allsmäktig ha din själ. Och då var l primstav och fir söndags[runa] och när han dog.,sv,"Gandvigðr och botvigðr har lagt denna sten, och har gjort sig av sina egna skuldar. Vi har gjort det här på sina egna skuldar. Vi har gjort det här på sina egna skuldar. Vi har gjort det här på sina egna skuldar. Vi har gjort det här på sina egna skuldar. Vi har gjort det här på sina egna skuldar. Vi har gjort det här på sina egna skuldar. Vi har gjort det här på sina egna skuldar. Vi har gjort det här på sina egna skuldar. Vi har gjort det här på sina egna skuldar. Vi har gjort det här på sina egna skuldar. Vi har gjort det här på sina egna skuldar. Vi har gjort det här på sina egna skuldar. Vi har gjort det här på sina egna skuldar. Vi har gjort det här på sina egna skuldar. Vi har gjort det här på sina egna skuldar. Vi har gjort det här på sina egna skuldar. Vi har gjort det här på sina egna skuldar. Vi har gjort det här på sina eg"
47,+ [o]l-(f) : [... litu : kiara : stain : ţana : ufir : sin : sun : b]u(t)a(i)[- u]-------s-afiţi... -(o)ţur ruţu(i)- ... bat-rn(o)(s)...ur : firir ţaira (s)ial ---...u--...---...----- -l-n...--a--- :,Olaf ... lät göra denna sten över sin son Botgeir (?) ... moder Rodve ... för deras själar ...,sv,"Lägg endast den svenska översättningstexten. Inga etiketter, förklaringar eller extra text."
48,... aistin + fnţur * sia auk stia + b(r)uţur si(n) + k...,"... [efter] Östen, sin fader, och Sten, sin broder ...",sv,"... i Ändast, den svenska översättningstexten."
49,+ hiar : ritiR : kulaifr : ok : ... ... : ku₫ : biarhi : sial : hans ×,Här reser Gudlev och ... Gud hjälpe hans själ,sv,"Här är kullifr, och ... ..."
50,æ iarlaæbaki æ lit raisa [æ] staina æ ±asa at sik æ kuikuan æ auk bru ±isa kar±i æ fur ont sina æ auk æ ain ati tabu ala-,"Jarlabanke lðt resa dessa stenar efter sig, medan han levde, och han gjorde denna bro f—r sin sjðl, och han ðgde ensam hela Tðby",sv,"ÅraÅbaki har det, som han, i sin skär. Han har sina karar, hans äkta, hans äkta, hans äkta, hans äkta. Han har sina äkta, hans äkta, hans äkta, hans äkta. Han har sina äkta, hans äkta, hans äkta, hans äkta. Han har sina äkta, hans äkta, hans äkta, hans äkta. Han har sina äkta, hans äkta, hans äkta, hans äkta. Han har sina äkta, hans äkta, hans äkta, hans äkta. Han har sina äkta, hans äkta, hans äkta, hans äkta. Han har sina äkta, hans äkta, hans äkta, hans äkta. Han har sina äkta, hans äkta, hans äkta, hans äkta. Han har sina äkta, hans äkta, hans äkta, hans äkta. Han har sina äkta, hans äkta, hans äkta"
51,[:] a[sur] * karþi : kubl : þesi : eftiR : uit : faþur : sin * [h]an uaR : mana : mestr : uniþikR [:] uaR : i[n]tr : mataR : uk umun hats : kuþr * þi(k)[n] kus tru : kuþa : hafþi :,"Assur gjorde detta minnesmärke efter Öjvind, sin fader. Han var av män den meste oniding, var frikostig med mat och ej sinnad för hat. Den gode tegnen hade en god gudstro.",sv,"Ånna den svenska översättningstexten. Inga etiketter, förklaringar eller extra text."
52,ilugi * ... [bro iftiR ka]... ...þur sin| |nytan,Illuge [lät göra] bron efter ... sin duktige fader / broder,sv,Här i läget ... ... ...
53,* aki * uruni * risti * ifti * (b)ui * [bruþur] ...,"Åke ristade runorna efter Bue, sin broder",sv,Äkka äkka äkka äkka äkka äkka äkka äkka äkka äkka äkka äkka äkka äkka äkka äkka äkka äkka äkka äkka äkka äkka äkka äkka äkka äkka äkka äkka äkka äkka äkka äkka äkka äkka äkka äkka äkka äkka äkka äkka äkka äkka äkka äkka äkka äkka äkka äkka äkka äkka äkka äkka äkka äkka äkka äkka äkka äkka äkka äkka äkka äkka äkka äkka äkka äkka äkka äkka äkka äkka äkka äkka äkka äkka äkka äkka äkka äkka äkka äkka äkka äkka äkka äkka äkka ä
54,ristu * stina * uk * staf * uan * uk * in * mikla * at * iartiknum uk kuri₫i * kas at * uiri * ₫u mon i krati * kiatit lata kunar ik stin,De reste stenarna / och även staven därovan(?) / den stora / till hederstecken(?). / Också Gyrid / älskade sin make. / Därför i sorgekväde / skall han besjungas. Gunnar högg stenen,sv,"Ristum och Staf, vi har iartiknum i artiknum. Vi har i artiknum i artiknum. Vi har i artiknum i artiknum. Vi har i artiknum i artiknum. Vi har i artiknum i artiknum. Vi har i artiknum i artiknum. Vi har i artiknum i artiknum. Vi har i artiknum i artiknum. Vi har i artiknum i artiknum. Vi har i artiknum i artiknum. Vi har i artiknum i artiknum. Vi har i artiknum i artiknum. Vi har i artiknum i artiknum. Vi har i artiknum i artiknum. Vi har i artiknum i artiknum. Vi har i artiknum i artiknum. Vi har i artiknum i artiknum. Vi har i artiknum i artiknum. Vi har i artiknum i artiknum. Vi har i artiknum i artiknum. Vi har i artiknum i artiknum. Vi har i artiknum i artiknum. Vi har i artiknum i art"
55,×· katrin : ioans : husfyra : i sundru : han : lit : giara : þina : stain : yfir : moþur sina : botiauþu : iak[o]bs : kunu : sihlaihs:arf(a) : biþin : f(i)(r)(i) (h)enar : sial : bater : noster :×,"Katrin, Johans husfru i Sundre, hon lät göra denna sten över sin moder Bottjaud, hustru till Jakob Siglaiks arvinge. Be för hennes själ Pater noster.",sv,"Kattrina, i Sundrú, han lit, göra dig i sin skötarens botvagn."
56,si[kfiR]uþr : lit : hi : Risa : at : burkaiR : foþur sin,"Sigfröd lät här resa efter Borgger, sin fader",sv,"Så, Risa, här bor vi."
57,as(b)iarn : risþi (:) stin : þan(s)i : aftiR : tuark : filaka : sin : trik : kuþan,"Asbjörn reste denna sten efter Dvärg, sin vän, en god man",sv,"Kvinnorna har sina trötta, sina trötta, sina trötta."
58,[arum ÷ ...bti(r) ÷ ...u... ÷ biyrþ ÷ þusinn ÷ ithuntraþ ÷ at ÷ ok ÷ sekstih ÷ ... ... ÷ kirkia] malaþ ÷ bu ÷ ra [?ur ÷ sif...na ÷ kari ÷ (a)-l(e) ÷ na^uþ] [i(r)a^l ru--r],Året efter ... födelse 1161 ... kyrkan målad BU RA ...,sv,Årmar har sina brot i sina böter. Vi har sina egna brot. Vi har sina egna böter. Vi har sina egna brot. Vi har sina egna böter. Vi har sina egna brot. Vi har sina egna böter.
59,... : stin : þani : e... ... bruþur : sifa,... denna sten efter ... Seves broder,sv,... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ... ...
60,si[h]tris : aruar[r] : litu : giera : st[a]en : yfir : auþu-l- : broþur : sin : a : finlandi : do : aglia...,"Sigtryggs arvingar lät göra stenen över Audvald, deras broder, som dog i Finland ...",sv,"Sigríðris har gjort denna sten för Ävul, hans broðr. Han var hans ägg. Han var hans ägg. Han var hans ägg. Han var hans ägg. Han var hans ägg. Han var hans ägg. Han var hans ägg. Han var hans ägg. Han var hans ägg. Han var hans ägg. Han var hans ägg. Han var hans ägg. Han var hans ägg. Han var hans ägg. Han var hans ägg. Han var hans ägg. Han var hans ägg. Han var hans ägg. Han var hans ägg. Han var hans ägg. Han var hans ägg. Han var hans ägg. Han var hans ägg. Han var hans ägg. Han var hans ägg. Han var hans ägg. Han var hans ägg. Han var hans ägg. Han var hans ägg. Han var hans ägg. Han var hans ägg. Han var hans ägg. Han var hans ägg. Han var hans ägg. Han var hans ägg. Han var hans ägg. Han var hans ägg. Han var hans ägg. Han var hans ägg. Han var hans"
61,þurulfs * sati ' stain ' uftiR ' tuka ' tuka ' sun ¶ hin * usta * kuþ ' hialbi * hans *,"Torulf satte stenen efter Tone, Tokes son, den yttersta. Gud hjälpe hans",sv,"Ånna den svenska översättningstexten. Inga etiketter, förklaringar eller extra text."
62,* uikhiulmbR * auk * auţmuntr * ţai(R) * litu * raisa * sten * at * serkiR * broţur * sen * koţna *,"Vighjälm och Ödmund de lät resa stenen efter Sverker, sin gode broder",sv,Växte i högt. Ägna dig åt honom.
63,kulefr ' u(k) ' s[i]oli ' litu ' risa ' iftiR ' ikifast ' sun [' i]arunta,"Gullev och Sjole lät resa efter Ingefast, Järunds son",sv,"Kulefr, (här) (här) (här) (här) (här) (här) (här) (här) (här) (här) (här) (här) (här) (här) (här) (här) (här) (här) (här) (här) (här) (här) (här) (här) (här) (här) (här) (här) (här) (här) (här) (här) (här) (här) (här) (här) (här) (här) (här) (här) (här) (här) (här) (här) (här) (här) (här) (här) (här) (här) (här) (här) (här) (här) (här) (här) (här) (här) (här) (här) (här) (här) (här)"
64,...(n)untr : a : aisku : sina :,... Anund efter sin älskade,sv,...
65,osmuntr : risþi : stin : þansi : ifiR : tuk * faþur * sin,"Åsmund reste denna sten efter Toke, sin fader",sv,"Muntr, risst, sten, på en gång."
66,+ sihrafr : i : flinauik : ha[n : lit : mik : gera : yfir] : si[n] : ...þur : iakaup : guþ : naþi : hans : sial : þa : uar : u[r : prim:stafr : ok : þos : sunut]ahr : en ha[n] : do,Sigraiv i Flenvike han lät göra mig över sin fader Jakob. Gud nåde hans själ. Då var primstav och söndagsruna när han dog.,sv,Sigrfr i flinaug har lit mig göra. Vi har sina skuldar. Vi är primstafr och hans son. Vi har sina egna.
67,þi... ...-tu * raisa * merki * þe... ... * faþur sin *,... lät resa detta minnesmärke [efter] ... sin fader,sv,... ha sig merke på... ...
68,: freystin : reisti : stein : þensa : eftiR : haþska : faþur sin :,"Frösten reste denna sten efter Hadske, sin fader",sv,Freystin har steinkarnen.
69,...(u)n[ar] × auk × suain × raistu × st=ain × at × ton(u) × mo₫ur ...,"Gunnar och Sven reste stenen efter Tona, [sin] moder ...",sv,(En) avrinnande av sina egna skärmar.
70,sihuiţr : auk : suain : auk : uihielbr : auk : kyla : ţaun : litu : raisa : stain : eftiR * olaif,Sigvid och Sven och Vilhjälm och Gylla de lät resa stenen efter Olev,sv,Svein och Vihielbr har gjort denna träning.
71,frustin : riti : stin : ₫ina : iftR : sikmut : uk : ukitRi : an ua : bur₫,"Frösten reste denna sten efter Sigmund, och mindre glad bar han bördan",sv,Fristun och Stin har gjort det.
72,' uaţr + auk × ţakn × auk × kunar + raistu × stain + ţana × at × haursa × foţur sin + kuţ hialbi ot hans ×,"Väder och Tägn och Gunnar reste denna sten efter Hörse, sin fader. Gud hjälpe hans ande.",sv,Råstana ska vara sina.
73,× kr(e)stin × let × giara × merki × eftiR × sun sen × huir sum runum riþr × hafi byniR × firiR × alah sial × suni ÷ uaR faþiR ala ×,Kristin lät göra minnesmärket efter sin son. Var och en som tyder runorna have böner för Ales själ. Sune var Ales fader.,sv,"Krustin har gjort denna mark för sig, sen han har gjort denna run för sig. Han har gjort denna mark för sig, men han har gjort denna run för sig."
74,botildær : læt : gæra : hua(l)f þænna : ifir : sue n : dyrmoson : haraldær : stenmæstari : gærþi : {BOGILDER : LET GERA (:) HVALF : DENNA : IF IR : SVEN : DEV...OSON : AVE MARIA * GRATIA},Bothild lät göra detta valv över Sven Dyrmodsson. Harald stenmästare gjorde.,sv,"Boðildr, låt göra denna. Hurvill du ska göra, så är det en mycket bra. Vi har denna sten, men vi har inte. Vi har inte. Vi har inte. Vi har inte. Vi har inte. Vi har inte. Vi har inte. Vi har inte. Vi har inte. Vi har inte. Vi har inte. Vi har inte. Vi har inte. Vi har inte. Vi har inte. Vi har inte. Vi har inte. Vi har inte. Vi har inte. Vi har inte. Vi har inte. Vi har inte. Vi har inte. Vi har inte. Vi har inte. Vi har inte. Vi har inte. Vi har inte. Vi har inte. Vi har inte. Vi har inte. Vi har inte. Vi har inte. Vi har inte. Vi har inte. Vi har inte. Vi har inte. Vi har inte. Vi har inte. Vi har inte. Vi har inte. Vi har inte. Vi har inte. Vi har inte. Vi har inte. Vi har inte. Vi har inte. Vi har inte. Vi har inte. Vi har inte. Vi har inte. Vi har inte. Vi har inte. Vi har inte. Vi har inte. Vi har inte. Vi har"
75,* þrikr : auk : frusti : litu : k(a)r[a * bro : a]uk * [l]itu raisa : stin at : orma : faþur : sin : koþan,"och Froste lät göra bron och resa stenen efter Orme, sin gode fader",sv,Tredjebrödra har gjort detta för att göra sina broar. Låt dig göra sina områden.
76,× asbiurn × auk × þiR ali × auk × urykia × raistu × stain × eftiR × þurkut + faþur * sin ×,"Asbjörn och Alle och Orökja reste stenen efter Torgöt, sin fader",sv,Bästjuna var den svenska översättningstexten.
77,: halftan ÷ rasþi : st(a)- ...si : at : raknualt : faþur : sin : ouk : tan * bruþur sin þrutaR þiak(n)a,"Halvdan reste denna sten efter Ragnvald, sin fader, och Dan, sin broder, dugande män",sv,"Halvtan i Rasi, i Ragnalds, i Ragnalds, i Ragnalds, i Ragnalds."
78,"× iarlibaki × lit × raisa × stan + þina × a... ... ...kuan + han × ati ain × tabu × alan × -... ... ont hans +
× iarlabaki × lit raisa × stain × þin- at sik kuikuan × auk × þinkstaþ × þina × karþi + auk × ain ati + alt hu-(t)ari × þita +","Jarlabanke lät resa denna sten [efter sig själv] medan han levde. Han ägde ensam hela Täby. [Gud hjälpe] hans själ
Jarlabanke lät resa denna sten efter sig, medan han levde och gjorde denna tingsplats och innehade ensam detta hundare",sv,"Järllabykka har gjort denna gång, men jag har gjort denna gång. Jag har gjort denna gång, men jag har gjort denna gång."
79,couæk a þræþr þisa ho^f : fimta mo^rk,Solveig äger dessa trådar Fem och en halv mark,sv,Här har vi förstått.
